,Bacteria,Chemicals,Bacteria_counts,Correlation,Importance_random_forest,CV_random_forest,R_squared_random_forest,Importance_xgboost,CV_xgboost,R_squared_xgboost,Importance_decision_tree,CV_decision_tree,R_squared_decision_tree
0,Deinococci,Acenaften,273,-0.3312189226856166,0.23100244183489227,-0.3446547458174618,0.4054886771891718,2.045194334211925,-1075.2896670832492,0.06483946969412901,1.0039777818057316,-390.03620170829686,0.5146655280983357
1,SAR202,B,89,-0.24063147887225475,0.2654182926038503,-0.12233713879502739,0.5519017184958579,1.1051150551671334,-0.31824666745312324,0.7483512502875418,1.4925438330401017,0.08173700129626975,0.691383041113066
2,4C0d-2,Sb,373,-0.27800665116405743,0.33957599271244976,0.05950129038764518,0.6161588252292276,1.357176498367083,-1.2222237915560243,0.8386058404212541,1.322649080031764,-2.571362868853444,0.789356399823149
3,Oscillatoriophycideae,Sb,6777,-0.16258372790800193,0.38850765731752535,-0.20881198505924448,0.4802500660145167,1.1895553696276902,-694.6613260797067,0.9258766925124341,1.0385733315618282,-156.77396884605636,-0.40853062306245747
4,Synechococcophycideae,Sb,3124,-0.12934179361045245,0.4066000054358976,-0.22857908026292373,0.4878184417016621,1.3116052157585667,-106.07772839965233,0.8527562686843599,1.10033670416123,-62.85687464487338,0.40267708026344595
5,Clostridia,"['Fe', 'Al', 'Cr', 'Mn']",5813,-0.165998890966747,0.17473735892109965,-0.270151987189867,0.23533977032947118,1.224797594137526,-325.8298684505659,-0.061184881388320456,0.959687408126591,-17.980552767607858,-0.5670615875029883
6,Clostridia,HCHO,5813,-0.040685486904759975,0.20000205282330807,-0.270151987189867,0.23533977032947118,1.064938115946211,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
7,Clostridia,B,5813,-0.017070081774098737,0.20718358073044207,-0.270151987189867,0.23533977032947118,1.060934788311998,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
8,Clostridia,Ni,5813,-0.043578640094385654,0.203965903373167,-0.270151987189867,0.23533977032947118,1.06821990903717,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
9,Clostridia,Ga,5813,0.06704261089460174,0.19524840830835333,-0.270151987189867,0.23533977032947118,1.0614001525881012,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
10,Clostridia,Rb,5813,-0.18303287643207147,0.2189073909305307,-0.270151987189867,0.23533977032947118,1.0928697129037865,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
11,Clostridia,Sb,5813,-0.06342631971569264,0.2377115799473517,-0.270151987189867,0.23533977032947118,1.059530462953481,-325.8298684505659,-0.061184881388320456,0.9848494216048557,-17.980552767607858,-0.5670615875029883
12,Clostridia,Ba,5813,0.03344839392740252,0.20307779959706385,-0.270151987189867,0.23533977032947118,1.0659295481334663,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
13,Clostridia,Naftalen,5813,-0.10520568228428485,0.20129228651258757,-0.270151987189867,0.23533977032947118,1.071428577808022,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
14,Clostridia,Acenaften,5813,0.01603345818261943,0.19526886456360226,-0.270151987189867,0.23533977032947118,1.0584858687794094,-325.8298684505659,-0.061184881388320456,0.9824225337948448,-17.980552767607858,-0.5670615875029883
15,{Unknown Class} Kazan-3B-28,Rb,155,-0.26888617144236415,0.4006153505858313,-0.022276424202574807,0.4325518364377121,1.7226855772518264,-15.677973808690671,0.9711984320470695,1.228029209096633,-1.603546508931199,0.5761425925390883
16,{Unknown Class} SR1,Rb,295,-0.4752881013299028,0.471169787250972,0.14326127584694326,0.5794588704873238,1.7428287519752281,-0.9463298578925865,0.8956829399533471,1.9724682519221322,-1.6836541618047751,0.7000836545109178
17,TM7-3,Sb,2900,-0.24316642016657963,0.28955422692511057,-0.11542710855302607,0.5925453037575363,0.9941140117205787,-5.897371850260852,0.6292256688916464,1.0042666675934693,-7.0672684433357675,0.6938955738023291
