,Bacteria,Chemicals,Importance_decision_tree,CV_decision_tree,R_squared_decision_tree
0,1,"['EC', 'Sr', 'Antracen']",1.3240788846563234,-0.6246520089333237,-0.8627503765999427
1,1,"['ΣPh', 'Fluoren']",1.3240788846563234,-0.6246520089333237,-0.8627503765999427
2,1,"['Li', 'Antracen']",1.3240788846563234,-0.6246520089333237,-0.8627503765999427
3,1,"['Al', 'Fe']",1.3240788846563234,-0.6246520089333237,-0.8627503765999427
4,1,"['V', 'As']",1.3240788846563234,-0.6246520089333237,-0.8627503765999427
5,1,"['Cr', 'Fe', 'Cu']",1.380252499172055,-0.6246520089333237,-0.8627503765999427
6,1,"['Mn', 'Fe', 'Co']",1.19880274014459,-0.6246520089333237,-0.8627503765999427
7,1,"['Fe', 'Al', 'Cr', 'Mn']",1.3371546822950682,-0.6246520089333237,-0.8627503765999427
8,1,"['Co', 'Mn']",1.3371546822950682,-0.6246520089333237,-0.8627503765999427
9,1,"['Cu', 'Cr', 'Cd', 'Pb']",1.2606320166449616,-0.6246520089333237,-0.8627503765999427
10,1,"['Zn', 'U']",1.2606320166449616,-0.6246520089333237,-0.8627503765999427
11,1,"['Rb', 'Piren']",1.2606320166449616,-0.6246520089333237,-0.8627503765999427
12,1,"['Se', 'Mo']",1.2606320166449616,-0.6246520089333237,-0.8627503765999427
13,1,"['Sr', 'EC']",1.2606320166449616,-0.6246520089333237,-0.8627503765999427
14,1,"['Cd', 'Cu', 'Pb']",1.1175403328317022,-0.6246520089333237,-0.8627503765999427
15,1,"['Fluoren', 'ΣPh', 'Fluoranten']",1.3856882726479112,-0.6246520089333237,-0.8627503765999427
16,1,"['Antracen', 'EC', 'Li']",1.6169086405751214,-0.6246520089333237,-0.8627503765999427
17,1,"['Fluoranten', 'Fluoren']",1.6169086405751214,-0.6246520089333237,-0.8627503765999427
18,1,pH,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
19,1,TOC,1.513939185650734,-0.6246520089333237,-0.8627503765999427
20,1,HCHO,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
21,1,B,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
22,1,Ni,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
23,1,Ga,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
24,1,Sb,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
25,1,Ba,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
26,1,Naftalen,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
27,1,Acenaftylen,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
28,1,Acenaften,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
29,1,Fenantren,1.6169086405751214,-0.6246520089333237,-0.8627503765999427
30,5,"['ΣPh', 'Fluoren']",0.9816002532924046,-4.219148954435342,-0.09140551849248335
31,5,"['Li', 'Antracen']",1.2236545751711894,-4.219148954435342,-0.09140551849248335
32,5,"['V', 'As']",1.014200656858021,-4.219148954435342,-0.09140551849248335
33,5,"['Fe', 'Al', 'Cr', 'Mn']",1.0885195298370975,-4.219148954435342,-0.09140551849248335
34,5,"['Co', 'Mn']",1.2703827528312843,-4.219148954435342,-0.09140551849248335
35,5,"['Zn', 'U']",1.1894159565170188,-4.219148954435342,-0.09140551849248335
36,5,"['Rb', 'Piren']",1.1433227372444057,-4.219148954435342,-0.09140551849248335
37,5,"['Sr', 'EC']",1.2510741817244246,-4.219148954435342,-0.09140551849248335
38,5,"['Fluoren', 'ΣPh', 'Fluoranten']",1.0328293744779657,-4.219148954435342,-0.09140551849248335
39,5,pH,1.206207287394361,-4.219148954435342,-0.09140551849248335
40,5,Sb,1.0457784130662275,-4.219148954435342,-0.09140551849248335
41,5,Acenaften,0.9731497400690388,-4.219148954435342,-0.09140551849248335
42,11,B,1.1866250551144644,-57.44851908901592,0.5275657371281304
43,13,"['Cr', 'Fe', 'Cu']",0.9297457862513786,-9.449602394509826,-0.09030693762313513
44,13,"['Rb', 'Piren']",0.9636858192835719,-9.449602394509826,-0.09030693762313513
45,17,"['EC', 'Sr', 'Antracen']",1.4502008963522945,-112.23707375607098,-0.1503294653744809
46,17,"['ΣPh', 'Fluoren']",1.2522659897295396,-112.23707375607098,-0.1503294653744809
47,17,"['Li', 'Antracen']",1.414481720870634,-112.23707375607098,-0.1503294653744809
48,17,"['V', 'As']",1.3850439585795038,-112.23707375607098,-0.1503294653744809
49,17,"['Cr', 'Fe', 'Cu']",1.4546702617357339,-112.23707375607098,-0.1503294653744809
