,Bacteria,Chemicals,Importance_random_forest,CV_random_forest,R_squared_random_forest
0,0,Sb,0.2044823660550713,-0.2794011330647137,0.358055779201397
1,1,B,0.21478693852698383,-0.3545247573819068,0.3965835287018521
2,1,Ni,0.21025751773086732,-0.3545247573819068,0.3965835287018521
3,5,B,0.1949884186838322,-0.20526925720650824,0.4445376534843052
4,5,Sb,0.1920376263598238,-0.20526925720650824,0.4445376534843052
5,6,Acenaften,0.21161697931404977,0.12304660055097794,0.5935188881777531
6,10,"['Fe', 'Al', 'Cr', 'Mn']",0.21115327720282884,-0.21199215121562043,0.20808762099550948
7,10,"['Se', 'Mo']",0.2084283934699076,-0.21199215121562043,0.20808762099550948
8,10,"['Fluoren', 'Fluoranten']",0.20401455434596405,-0.21199215121562043,0.20808762099550948
9,10,pH,0.2092071190313144,-0.21199215121562043,0.20808762099550948
10,10,EC,0.20450989851431256,-0.21199215121562043,0.20808762099550948
11,10,TOC,0.20083423830882952,-0.21199215121562043,0.20808762099550948
12,10,B,0.2104518493971248,-0.21199215121562043,0.20808762099550948
13,10,Ni,0.21458629063782375,-0.21199215121562043,0.20808762099550948
14,10,Ga,0.2056577691373772,-0.21199215121562043,0.20808762099550948
15,10,Sr,0.23762012706764746,-0.21199215121562043,0.20808762099550948
16,10,Sb,0.23457109373322294,-0.21199215121562043,0.20808762099550948
17,10,Ba,0.2043618844988464,-0.21199215121562043,0.20808762099550948
18,10,Naftalen,0.20557542201683643,-0.21199215121562043,0.20808762099550948
19,10,Acenaften,0.20462546269087323,-0.21199215121562043,0.20808762099550948
20,15,"['Li', 'Antracen']",0.21676630191133672,-0.16225733076175897,0.13326956167443982
21,15,"['Al', 'Fe']",0.2238081367653163,-0.16225733076175897,0.13326956167443982
22,15,"['Cr', 'Fe']",0.23037409864406777,-0.16225733076175897,0.13326956167443982
23,15,"['Mn', 'Fe']",0.24274581837076992,-0.16225733076175897,0.13326956167443982
24,15,"['Fe', 'Al', 'Cr', 'Mn']",0.4958820504504722,-0.16225733076175897,0.13326956167443982
25,15,"['Se', 'Mo']",0.4921315446893547,-0.16225733076175897,0.13326956167443982
26,15,"['Fluoren', 'Fluoranten']",0.5208639529083198,-0.16225733076175897,0.13326956167443982
27,15,pH,0.5128312561207299,-0.16225733076175897,0.13326956167443982
28,15,EC,0.4968696629677566,-0.16225733076175897,0.13326956167443982
29,15,TOC,0.5616654380559073,-0.16225733076175897,0.13326956167443982
30,15,B,0.5208685579762312,-0.16225733076175897,0.13326956167443982
31,15,Ni,0.5304653314433178,-0.16225733076175897,0.13326956167443982
32,15,Ga,0.5208057768758115,-0.16225733076175897,0.13326956167443982
33,15,Sr,0.5208597740428423,-0.16225733076175897,0.13326956167443982
34,15,Sb,0.5208708913984634,-0.16225733076175897,0.13326956167443982
35,15,Ba,0.5371325314127741,-0.16225733076175897,0.13326956167443982
36,15,Naftalen,0.5209111218649896,-0.16225733076175897,0.13326956167443982
37,15,Acenaften,0.5208657640193397,-0.16225733076175897,0.13326956167443982
38,19,Sb,0.21713417112276434,-0.008636444791071618,0.5366620808472793
39,22,Sb,0.24595151692204975,-0.3300343215651842,0.40765577358119476
40,25,Ga,0.23050690881732694,-0.20842435309299545,0.47326841358769967
41,25,Sb,0.39540680896230795,-0.20842435309299545,0.47326841358769967
42,25,Naftalen,0.26950131067077177,-0.20842435309299545,0.47326841358769967
43,26,Sb,0.2535968258450233,-0.06801428670465048,0.5593704920391187
44,27,"['Fe', 'Al', 'Cr', 'Mn']",0.36511699602666203,0.07291740940896752,0.3446200536252044
45,27,"['Se', 'Mo']",0.3627210599048736,0.07291740940896752,0.3446200536252044
