,Bacteria,Chemicals,Bacteria_counts,Correlation,Importance_random_forest,CV_random_forest,R_squared_random_forest,Importance_xgboost,CV_xgboost,R_squared_xgboost,Importance_decision_tree,CV_decision_tree,R_squared_decision_tree
0,{Unknown Family} CCU21,"['Li', 'Antracen']",14170,0.147883074124143,0.21676630191133672,-0.16225733076175897,0.13326956167443982,2.03116107897517,-7901707.726158252,-1.0373243086902444,1.029626727360018,-2148374.156523117,-0.5460785699308492
1,{Unknown Family} CCU21,"['Al', 'Fe']",14170,0.049775187564488475,0.2238081367653163,-0.16225733076175897,0.13326956167443982,2.0310235145614106,-7901707.726158252,-1.0373243086902444,1.029626784064487,-2148374.156523117,-0.5460785699308492
2,{Unknown Family} CCU21,"['Cr', 'Fe']",14170,0.2563491695592618,0.23037409864406777,-0.16225733076175897,0.13326956167443982,2.031114322116951,-7901707.726158252,-1.0373243086902444,1.029034165655216,-2148374.156523117,-0.5460785699308492
3,{Unknown Family} CCU21,"['Mn', 'Fe']",14170,-0.21120415913368848,0.24274581837076992,-0.16225733076175897,0.13326956167443982,1.0171164671813862,-7901707.726158252,-1.0373243086902444,1.0279240026007472,-2148374.156523117,-0.5460785699308492
4,{Unknown Family} CCU21,"['Fe', 'Al', 'Cr', 'Mn']",14170,0.0766214981379973,0.4958820504504722,-0.16225733076175897,0.13326956167443982,1.0139541044893794,-7901707.726158252,-1.0373243086902444,1.0298491789933135,-2148374.156523117,-0.5460785699308492
5,{Unknown Family} CCU21,"['Se', 'Mo']",14170,0.10713487998794294,0.4921315446893547,-0.16225733076175897,0.13326956167443982,2.0310663241557263,-7901707.726158252,-1.0373243086902444,1.0298491789933135,-2148374.156523117,-0.5460785699308492
6,{Unknown Family} CCU21,"['Fluoren', 'Fluoranten']",14170,-0.09123785549471011,0.5208639529083198,-0.16225733076175897,0.13326956167443982,2.0373243086820723,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
7,{Unknown Family} CCU21,pH,14170,-0.05636472283413178,0.5128312561207299,-0.16225733076175897,0.13326956167443982,2.031079352668813,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
8,{Unknown Family} CCU21,TOC,14170,-0.12152685553971801,0.5616654380559073,-0.16225733076175897,0.13326956167443982,2.0373236014558618,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
9,{Unknown Family} CCU21,B,14170,-0.16185843736683028,0.5208685579762312,-0.16225733076175897,0.13326956167443982,2.0374553760251035,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
10,{Unknown Family} CCU21,Ni,14170,-0.03900554057906008,0.5304653314433178,-0.16225733076175897,0.13326956167443982,2.0387705310994475,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
11,{Unknown Family} CCU21,Ga,14170,-0.12383251940476783,0.5208057768758115,-0.16225733076175897,0.13326956167443982,2.0373244914722637,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
12,{Unknown Family} CCU21,Sb,14170,-0.10422893791307566,0.5208708913984634,-0.16225733076175897,0.13326956167443982,2.0375046481189942,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
13,{Unknown Family} CCU21,Ba,14170,-0.10270250303308734,0.5371325314127741,-0.16225733076175897,0.13326956167443982,2.0373512722237397,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
14,{Unknown Family} CCU21,Naftalen,14170,0.0950044880347613,0.5209111218649896,-0.16225733076175897,0.13326956167443982,2.037552600569606,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
15,{Unknown Family} CCU21,Acenaften,14170,-0.2701494094257639,0.5208657640193397,-0.16225733076175897,0.13326956167443982,2.037364662188762,-7901707.726158252,-1.0373243086902444,1.0295526146185656,-2148374.156523117,-0.5460785699308492
16,Corynebacteriaceae,Sb,2645,-0.11563572879553394,0.3192751625605267,-0.1570620486627805,0.5544449569540264,1.3778431754580167,-74.92465003685236,0.9850653139534844,1.0481159077354627,-247.0301549142895,-0.5806043733083639
17,{Unknown Order} MB-A2-108,TOC,1378,-0.12131931973974636,0.19308188155742856,-0.3040443961704409,0.2413331663252377,1.1927803482397112,-703.8061466165324,0.09826053002253643,2.0249915550286035,-889.0410940346352,-1.0749538352358776
