,Bacteria,Chemicals,Importance_xgboost,CV_xgboost,R_squared_xgboost
0,4,"['Fe', 'Al', 'Cr', 'Mn']",1.2094390043518422,-840.6224752265223,-0.2048725958229065
1,4,"['Se', 'Mo']",1.156341010124791,-840.6224752265223,-0.2048725958229065
2,4,"['Fluoren', 'Fluoranten']",1.2048725958056723,-840.6224752265223,-0.2048725958229065
3,4,pH,1.249220150528625,-840.6224752265223,-0.2048725958229065
4,4,EC,1.1902934436114,-840.6224752265223,-0.2048725958229065
5,4,TOC,1.2047312656191647,-840.6224752265223,-0.2048725958229065
6,4,Ni,1.2404590936961268,-840.6224752265223,-0.2048725958229065
7,4,Ga,1.2049816083888305,-840.6224752265223,-0.2048725958229065
8,4,Rb,1.2108832461887675,-840.6224752265223,-0.2048725958229065
9,4,Sr,1.2054033438599978,-840.6224752265223,-0.2048725958229065
10,4,Sb,1.2056427398008558,-840.6224752265223,-0.2048725958229065
11,4,Ba,1.2048725916739453,-840.6224752265223,-0.2048725958229065
12,4,Naftalen,1.2051769366387535,-840.6224752265223,-0.2048725958229065
13,4,Acenaften,1.2048688823715912,-840.6224752265223,-0.2048725958229065
14,8,"['Mn', 'Fe']",1.2311427975890448,-1900.1521128137265,0.3822296761114976
15,8,pH,1.2273129503367177,-1900.1521128137265,0.3822296761114976
16,8,Acenaften,1.7081389118812593,-1900.1521128137265,0.3822296761114976
17,13,"['Li', 'Antracen']",1.4169885981726238,-15.697105359062173,-0.39483059647041463
18,13,"['Al', 'Fe']",1.4107711440311355,-15.697105359062173,-0.39483059647041463
19,13,"['V', 'As']",1.40917473748613,-15.697105359062173,-0.39483059647041463
20,13,"['Cr', 'Fe']",1.4730527547208703,-15.697105359062173,-0.39483059647041463
21,13,"['Mn', 'Fe']",1.3850556354907284,-15.697105359062173,-0.39483059647041463
22,13,"['Fe', 'Al', 'Cr', 'Mn']",1.3977200871200846,-15.697105359062173,-0.39483059647041463
23,13,"['Se', 'Mo']",1.4504589132875578,-15.697105359062173,-0.39483059647041463
24,13,"['Fluoren', 'Fluoranten']",1.3948305933713492,-15.697105359062173,-0.39483059647041463
25,13,pH,1.395356057915432,-15.697105359062173,-0.39483059647041463
26,13,EC,1.4092740920584297,-15.697105359062173,-0.39483059647041463
27,13,TOC,1.3553330456096249,-15.697105359062173,-0.39483059647041463
28,13,HCHO,1.3945100654255889,-15.697105359062173,-0.39483059647041463
29,13,B,1.4037951908180157,-15.697105359062173,-0.39483059647041463
30,13,Ni,1.3978589567784985,-15.697105359062173,-0.39483059647041463
31,13,Ga,1.3960892038653872,-15.697105359062173,-0.39483059647041463
32,13,Rb,1.40678593957773,-15.697105359062173,-0.39483059647041463
33,13,Sr,1.6053715116287286,-15.697105359062173,-0.39483059647041463
34,13,Sb,1.3965951010702224,-15.697105359062173,-0.39483059647041463
35,13,Ba,1.4054730585939823,-15.697105359062173,-0.39483059647041463
36,13,Naftalen,1.3974003810613946,-15.697105359062173,-0.39483059647041463
37,13,Acenaften,1.4003549779815287,-15.697105359062173,-0.39483059647041463
38,15,"['Li', 'Antracen']",2.03116107897517,-7901707.726158252,-1.0373243086902444
39,15,"['Al', 'Fe']",2.0310235145614106,-7901707.726158252,-1.0373243086902444
40,15,"['V', 'As']",1.0140007005268137,-7901707.726158252,-1.0373243086902444
41,15,"['Cr', 'Fe']",2.031114322116951,-7901707.726158252,-1.0373243086902444
42,15,"['Mn', 'Fe']",1.0171164671813862,-7901707.726158252,-1.0373243086902444
43,15,"['Fe', 'Al', 'Cr', 'Mn']",1.0139541044893794,-7901707.726158252,-1.0373243086902444
44,15,"['Se', 'Mo']",2.0310663241557263,-7901707.726158252,-1.0373243086902444
45,15,"['Fluoren', 'Fluoranten']",2.0373243086820723,-7901707.726158252,-1.0373243086902444
46,15,pH,2.031079352668813,-7901707.726158252,-1.0373243086902444
47,15,EC,2.0354685280769425,-7901707.726158252,-1.0373243086902444
48,15,TOC,2.0373236014558618,-7901707.726158252,-1.0373243086902444
49,15,HCHO,2.037251415508741,-7901707.726158252,-1.0373243086902444
50,15,B,2.0374553760251035,-7901707.726158252,-1.0373243086902444
51,15,Ni,2.0387705310994475,-7901707.726158252,-1.0373243086902444
52,15,Ga,2.0373244914722637,-7901707.726158252,-1.0373243086902444
53,15,Rb,2.037496650014367,-7901707.726158252,-1.0373243086902444
54,15,Sr,2.037324417192917,-7901707.726158252,-1.0373243086902444
55,15,Sb,2.0375046481189942,-7901707.726158252,-1.0373243086902444
56,15,Ba,2.0373512722237397,-7901707.726158252,-1.0373243086902444
57,15,Naftalen,2.037552600569606,-7901707.726158252,-1.0373243086902444
58,15,Acenaften,2.037364662188762,-7901707.726158252,-1.0373243086902444
59,16,"['Cr', 'Fe']",1.2156061862571557,-27.849863192419026,0.15191491944049607
60,16,"['Mn', 'Fe']",1.1185298733274787,-27.849863192419026,0.15191491944049607
61,16,"['Se', 'Mo']",1.076354503618504,-27.849863192419026,0.15191491944049607
62,25,Sb,1.2816261511485998,-470.46896629065634,0.9669806742255663
63,26,Ga,1.0779715404811694,-27.421826102213238,0.6390268491059503
64,28,"['Fluoren', 'Fluoranten']",1.086507074221596,-261.78333642897144,-0.08650708484479797
65,28,TOC,1.1060694489945724,-261.78333642897144,-0.08650708484479797
66,28,HCHO,1.0855186500716538,-261.78333642897144,-0.08650708484479797
67,28,B,1.1351492608217892,-261.78333642897144,-0.08650708484479797
68,28,Ni,1.0952796894730534,-261.78333642897144,-0.08650708484479797
69,28,Ga,1.090560286762806,-261.78333642897144,-0.08650708484479797
70,28,Rb,1.1175589661742795,-261.78333642897144,-0.08650708484479797
71,28,Sr,1.1518126882199438,-261.78333642897144,-0.08650708484479797
72,28,Ba,1.0945489934478387,-261.78333642897144,-0.08650708484479797
73,28,Naftalen,1.2908613709602292,-261.78333642897144,-0.08650708484479797
74,28,Acenaften,1.100075638558328,-261.78333642897144,-0.08650708484479797
75,30,B,1.132667588371064,-11.33607255111536,0.49198246020034464
76,31,"['Fe', 'Al', 'Cr', 'Mn']",1.2108760629708146,-10803.39195857838,-0.6789295653991649
77,31,"['Se', 'Mo']",1.429560496891162,-10803.39195857838,-0.6789295653991649
78,31,"['Fluoren', 'Fluoranten']",1.6789295635365646,-10803.39195857838,-0.6789295653991649
79,31,pH,1.6681561855277618,-10803.39195857838,-0.6789295653991649
80,31,TOC,1.467311068175491,-10803.39195857838,-0.6789295653991649
81,31,HCHO,1.2336823423037306,-10803.39195857838,-0.6789295653991649
82,31,B,1.6835991530710963,-10803.39195857838,-0.6789295653991649
83,31,Ni,1.693297346138238,-10803.39195857838,-0.6789295653991649
84,31,Ga,1.6791551481364189,-10803.39195857838,-0.6789295653991649
85,31,Rb,1.694398968604402,-10803.39195857838,-0.6789295653991649
86,31,Sr,1.6788177067173606,-10803.39195857838,-0.6789295653991649
87,31,Sb,1.7096063950567624,-10803.39195857838,-0.6789295653991649
88,31,Ba,1.7004724827977138,-10803.39195857838,-0.6789295653991649
89,31,Naftalen,1.6781466771146558,-10803.39195857838,-0.6789295653991649
90,31,Acenaften,1.687731109311756,-10803.39195857838,-0.6789295653991649
91,33,"['Li', 'Antracen']",1.9675076692414755,-217328.00037092058,-0.9655246608451629
92,33,"['Al', 'Fe']",1.9735326303202587,-217328.00037092058,-0.9655246608451629
93,33,"['V', 'As']",1.9664022341248382,-217328.00037092058,-0.9655246608451629
94,33,"['Cr', 'Fe']",1.9627619409550516,-217328.00037092058,-0.9655246608451629
