,Bacteria,Chemicals,Importance_decition_tree,CV_decition_tree,R_squared_decition_tree
0,1,Rb,0.9125295508274232,-0.25571428571428584,0.8475177304964538
1,2,B,1.3067729083665338,0.46555555555555567,0.8342629482071713
2,3,"['EC', 'Sr', 'Antracen']",1.1402099167571478,-0.18242361684558223,-0.4911328266377124
3,3,"['V', 'As']",1.1257328990228013,-0.18242361684558223,-0.4911328266377124
4,3,"['Cr', 'Fe']",1.1402099167571478,-0.18242361684558223,-0.4911328266377124
5,3,"['Mn', 'Fe']",0.9937024972855593,-0.18242361684558223,-0.4911328266377124
6,3,"['Fe', 'Al', 'Cr', 'Mn']",1.1257328990228015,-0.18242361684558223,-0.4911328266377124
7,3,"['Se', 'Mo']",1.1402099167571482,-0.18242361684558223,-0.4911328266377124
8,3,"['Sr', 'EC']",1.1402099167571478,-0.18242361684558223,-0.4911328266377124
9,3,"['Fluoren', 'Fluoranten']",1.1402099167571478,-0.18242361684558223,-0.4911328266377124
10,3,"['Antracen', 'EC', 'Li']",1.1402099167571478,-0.18242361684558223,-0.4911328266377124
11,3,TOC,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
12,3,HCHO,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
13,3,B,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
14,3,Ni,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
15,3,Ga,1.4181686572566048,-0.18242361684558223,-0.4911328266377124
16,3,Rb,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
17,3,Sb,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
18,3,Ba,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
19,3,Naftalen,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
20,3,Acenaften,1.1402099167571478,-0.18242361684558223,-0.4911328266377124
21,4,"['V', 'As']",1.1190195086298984,-1.354023316889133,0.09169618260527346
22,6,Acenaften,1.0442417781041133,-42.78078883012767,0.5205266997206788
23,15,Ga,1.0230523304728252,-1.5496581823191744,0.5333445510123955
24,21,"['Fe', 'Al', 'Cr', 'Mn']",1.032258064516129,0.5666666666666667,-0.5483870967741935
25,21,"['Se', 'Mo']",1.032258064516129,0.5666666666666667,-0.5483870967741935
26,21,"['Sr', 'EC']",1.032258064516129,0.5666666666666667,-0.5483870967741935
27,21,"['Fluoren', 'Fluoranten']",1.032258064516129,0.5666666666666667,-0.5483870967741935
28,21,"['Antracen', 'EC', 'Li']",1.032258064516129,0.5666666666666667,-0.5483870967741935
29,21,pH,1.032258064516129,0.5666666666666667,-0.5483870967741935
30,21,TOC,1.032258064516129,0.5666666666666667,-0.5483870967741935
31,21,HCHO,1.032258064516129,0.5666666666666667,-0.5483870967741935
32,21,B,1.032258064516129,0.5666666666666667,-0.5483870967741935
33,21,Ni,1.032258064516129,0.5666666666666667,-0.5483870967741935
34,21,Ga,1.032258064516129,0.5666666666666667,-0.5483870967741935
35,21,Rb,1.032258064516129,0.5666666666666667,-0.5483870967741935
36,21,Sb,1.032258064516129,0.5666666666666667,-0.5483870967741935
37,21,Ba,1.032258064516129,0.5666666666666667,-0.5483870967741935
38,21,Naftalen,1.032258064516129,0.5666666666666667,-0.5483870967741935
39,21,Acenaften,1.032258064516129,0.5666666666666667,-0.5483870967741935
40,25,"['EC', 'Sr', 'Antracen']",1.1044374719856567,-1.3363350681536552,-0.08292245629762429
41,25,"['Li', 'Antracen']",1.1044374719856567,-1.3363350681536552,-0.08292245629762429
42,25,"['Al', 'Fe']",1.1044374719856567,-1.3363350681536552,-0.08292245629762429
43,25,"['V', 'As']",1.1044374719856567,-1.3363350681536552,-0.08292245629762429
44,25,"['Cr', 'Fe']",1.1044374719856567,-1.3363350681536552,-0.08292245629762429
45,25,"['Mn', 'Fe']",0.9036306588973555,-1.3363350681536552,-0.08292245629762429
46,25,"['Fe', 'Al', 'Cr', 'Mn']",0.9036306588973555,-1.3363350681536552,-0.08292245629762429
47,25,"['Se', 'Mo']",1.1044374719856567,-1.3363350681536552,-0.08292245629762429
48,25,"['Sr', 'EC']",1.1044374719856567,-1.3363350681536552,-0.08292245629762429
49,25,"['Antracen', 'EC', 'Li']",0.9036306588973555,-1.3363350681536552,-0.08292245629762429
50,25,B,0.9896907216494846,-1.3363350681536552,-0.08292245629762429
51,28,"['EC', 'Sr', 'Antracen']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
52,28,"['Li', 'Antracen']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
53,28,"['Al', 'Fe']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
54,28,"['V', 'As']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
55,28,"['Cr', 'Fe']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
56,28,"['Mn', 'Fe']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
57,28,"['Fe', 'Al', 'Cr', 'Mn']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
58,28,"['Se', 'Mo']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
59,28,"['Sr', 'EC']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
60,28,"['Fluoren', 'Fluoranten']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
61,28,"['Antracen', 'EC', 'Li']",1.032258064516129,-0.039999999999999994,-0.5483870967741935
62,28,pH,1.032258064516129,-0.039999999999999994,-0.5483870967741935
63,28,TOC,1.032258064516129,-0.039999999999999994,-0.5483870967741935
64,28,HCHO,1.032258064516129,-0.039999999999999994,-0.5483870967741935
65,28,B,1.032258064516129,-0.039999999999999994,-0.5483870967741935
66,28,Ni,1.032258064516129,-0.039999999999999994,-0.5483870967741935
67,28,Ga,1.032258064516129,-0.039999999999999994,-0.5483870967741935
68,28,Rb,1.032258064516129,-0.039999999999999994,-0.5483870967741935
69,28,Sb,1.032258064516129,-0.039999999999999994,-0.5483870967741935
70,28,Ba,1.032258064516129,-0.039999999999999994,-0.5483870967741935
71,28,Naftalen,1.032258064516129,-0.039999999999999994,-0.5483870967741935
72,28,Acenaften,1.032258064516129,-0.039999999999999994,-0.5483870967741935
73,31,Ga,1.1108050376470362,-5.824882309408723,0.6906467171204609
74,33,Ba,1.007992477668077,-0.3025,0.8871650211565585
75,38,"['EC', 'Sr', 'Antracen']",0.9267522667657468,-198.6740574040711,-0.5097698300402642
76,38,"['Li', 'Antracen']",1.2788278159667144,-198.6740574040711,-0.5097698300402642
77,38,"['Al', 'Fe']",1.0119695714956547,-198.6740574040711,-0.5097698300402642
78,38,"['V', 'As']",1.0847442131020897,-198.6740574040711,-0.5097698300402642
79,38,"['Cr', 'Fe']",1.3034327416647706,-198.6740574040711,-0.5097698300402642
80,38,"['Fe', 'Al', 'Cr', 'Mn']",1.388740129049879,-198.6740574040711,-0.5097698300402642
81,38,"['Se', 'Mo']",1.190545654713351,-198.6740574040711,-0.5097698300402642
82,38,"['Sr', 'EC']",1.1945630985993074,-198.6740574040711,-0.5097698300402642
83,38,"['Fluoren', 'Fluoranten']",1.4186571021724497,-198.6740574040711,-0.5097698300402642
84,38,"['Antracen', 'EC', 'Li']",1.2516197074450326,-198.6740574040711,-0.5097698300402642
85,38,pH,0.9718990302242148,-198.6740574040711,-0.5097698300402642
86,38,TOC,1.2516197074450326,-198.6740574040711,-0.5097698300402642
87,38,HCHO,1.2516197074450326,-198.6740574040711,-0.5097698300402642
88,38,B,1.2516197074450326,-198.6740574040711,-0.5097698300402642
89,38,Ni,1.2516197074450326,-198.6740574040711,-0.5097698300402642
90,38,Ga,1.2516197074450326,-198.6740574040711,-0.5097698300402642
91,38,Rb,1.2516197074450326,-198.6740574040711,-0.5097698300402642
92,38,Sb,1.2516197074450326,-198.6740574040711,-0.5097698300402642
93,38,Ba,1.2555945651479918,-198.6740574040711,-0.5097698300402642
94,38,Naftalen,1.2516197074450326,-198.6740574040711,-0.5097698300402642
95,38,Acenaften,1.2516197074450326,-198.6740574040711,-0.5097698300402642
96,40,Sb,1.0494338580502625,-1.421443157232631,0.6059099696216514
97,44,Rb,1.0666666666666669,0.5,0.4666666666666667
98,47,"['Mn', 'Fe']",0.988652557333801,-1.7195140724020377,0.09009226043906549
