,Family (Aggregated)
0,{Unknown Family} WCHD3-30
1,{Unknown Family} YLA114
2,Cenarchaeaceae
3,{Unknown Phylum} Bacteria-1
4,{Unknown Phylum} Bacteria-2
5,Deinococcaceae
6,{Unknown Class} AC1
7,{Unknown Order} HDBW-WB69
8,{Unknown Class} Acidobacteria
9,{Unknown Family} 11-24
10,{Unknown Family} PK29
11,{Unknown Family} RB41
12,Ellin6075
13,{Unknown Order} Acidobacteria-5
14,{Unknown Order} Acidobacteria-6
15,{Unknown Family} CCU21
16,{Unknown Family} iii1-15
17,mb2424
18,RB40
19,Acidobacteriaceae
20,Koribacteraceae
21,{Unknown Order} AT-s54
22,{Unknown Order} BPC102
23,Holophagaceae
24,{Unknown Family} 32-20
25,{Unknown Family} DS-18
26,{Unknown Family} SJA-36
27,{Unknown Order} PAUC37f
28,{Unknown Order} RB25
29,{Unknown Family} JH-WHS99
30,{Unknown Family} Solibacterales
31,[Bryobacteraceae]
32,AKIW659
33,Solibacteraceae
34,{Unknown Family} Sva0725
35,{Unknown Class} Actinobacteria
36,{Unknown Family} Acidimicrobiales
37,Acidimicrobiaceae
38,AKIW874
39,C111
40,EB1017
41,Iamiaceae
42,Microthrixaceae
43,{Unknown Order} Actinobacteria
44,{Unknown Family} Actinomycetales
45,ACK-M1
46,Actinomycetaceae
47,Cellulomonadaceae
48,Corynebacteriaceae
49,Frankiaceae
50,Gordoniaceae
51,Intrasporangiaceae
52,Kineosporiaceae
53,Microbacteriaceae
54,Micrococcaceae
55,Micromonosporaceae
56,Mycobacteriaceae
57,Nocardiaceae
58,Nocardioidaceae
59,Propionibacteriaceae
60,Pseudonocardiaceae
61,Rarobacteraceae
62,Streptomycetaceae
63,Bifidobacteriaceae
64,At425_EubF1
65,Coriobacteriaceae
66,{Unknown Order} MB-A2-108
67,{Unknown Family} 0319-7L14
68,{Unknown Order} OPB41
69,{Unknown Order} Thermoleophilia
70,{Unknown Family} Gaiellales
71,AK1AB1_02E
72,Gaiellaceae
73,{Unknown Family} Solirubrobacterales
74,Patulibacteraceae
75,Solirubrobacteraceae
76,{Unknown Class} AD3
77,{Unknown Order} ABS-6
78,{Unknown Order} JG37-AG-4
79,{Unknown Class} Armatimonadetes
80,{Unknown Order} 0319-6E2
81,[Fimbriimonadaceae]
82,Armatimonadaceae
83,Chthonomonadaceae
84,{Unknown Family} SJA-22
85,{Unknown Order} OPB50
86,{Unknown Order} SHA-37
87,{Unknown Family} GAB-B06
88,{Unknown Family} RB046
89,Rhodothermaceae
90,{Unknown Family} [Saprospirales]
91,Chitinophagaceae
92,Saprospiraceae
93,{Unknown Family} Bacteroidales
94,[Paraprevotellaceae]
95,Bacteroidaceae
96,Porphyromonadaceae
97,Prevotellaceae
98,Rikenellaceae
99,{Unknown Order} BME43
100,{Unknown Family} Cytophagales
101,Cyclobacteriaceae
102,Cytophagaceae
103,Flammeovirgaceae
104,{Unknown Family} Flavobacteriales
105,[Weeksellaceae]
106,Cryomorphaceae
107,Flavobacteriaceae
108,{Unknown Family} Sphingobacteriales
109,Sphingobacteriaceae
110,{Unknown Order} VC2_1_Bac22
111,{Unknown Class} BHI80-139
112,{Unknown Order} PRR-11
113,{Unknown Order} WCHB1-03
114,{Unknown Family} Caldithrixales
115,{Unknown Order} Chlamydiia
116,{Unknown Family} Chlamydiales
117,Chlamydiaceae
118,Criblamydiaceae
119,Parachlamydiaceae
120,Rhabdochlamydiaceae
121,Simkaniaceae
122,Waddliaceae
123,{Unknown Class} Chlorobi
124,{Unknown Family} C20
125,[Melioribacteraceae]
126,{Unknown Order} OPB56
127,{Unknown Order} SJA-28
128,{Unknown Class} Chloroflexi
129,{Unknown Order} Anaerolineae
130,S47
131,Anaerolinaceae
132,Caldilineaceae
133,{Unknown Family} envOPS12
134,{Unknown Family} H39
135,{Unknown Family} S0208
136,A4b
137,{Unknown Family} SHA-20
138,{Unknown Family} SJA-15
139,{Unknown Family} WCHB1-50
140,{Unknown Order} C0119
141,{Unknown Family} [Roseiflexales]
142,[Kouleothrixaceae]
143,{Unknown Family} AKIW781
144,Chloroflexaceae
145,{Unknown Family} Herpetosiphonales
146,{Unknown Family} Dehalococcoidales
147,Dehalococcoidaceae
148,{Unknown Family} GIF9
149,{Unknown Order} Ellin6529
150,{Unknown Order} Gitt-GS-136
151,Thermogemmatisporaceae
152,{Unknown Order} P2-11E
153,{Unknown Order} S085
154,{Unknown Order} SAR202
155,{Unknown Order} SHA-26
156,{Unknown Order} SL56
157,{Unknown Family} AKYG1722
158,{Unknown Family} JG30-KF-CM45
159,{Unknown Order} TK10
160,5B-12
161,Dolo_23
162,{Unknown Family} B07_WMSP1
163,{Unknown Order} TK17
164,{Unknown Family} mle1-48
165,{Unknown Class} Cyanobacteria
166,{Unknown Order} 4C0d-2
167,{Unknown Family} MLE1-12
168,{Unknown Family} SM1D11
169,{Unknown Family} SM2F09
170,{Unknown Family} YS2
171,{Unknown Order} Chloroplast
172,{Unknown Family} Chlorophyta
173,Chlamydomonadaceae
174,Trebouxiophyceae
175,Ulvophyceae
176,{Unknown Family} Cryptophyta
