,Bacteria,Chemicals,Importance_xgboost,CV_xgboost,R_squared_xgboost
1018,Endoecteinascidiaceae,HCHO,2.132394612650387,0.39999978329602515,0.9999998063777177
1218,{Unknown Family} WCHB1-41,"['Cu', 'Cr', 'Cd', 'Pb']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1222,{Unknown Family} WCHB1-41,"['Cd', 'Cu', 'Pb']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1229,{Unknown Family} WCHB1-41,B,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1227,{Unknown Family} WCHB1-41,ΣPh,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1226,{Unknown Family} WCHB1-41,TOC,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1225,{Unknown Family} WCHB1-41,pH,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1224,{Unknown Family} WCHB1-41,"['Fluoranten', 'Fluoren']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1223,{Unknown Family} WCHB1-41,"['Fluoren', 'EC', 'Fluoranten']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1221,{Unknown Family} WCHB1-41,"['Se', 'Mo']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1231,{Unknown Family} WCHB1-41,Ga,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1220,{Unknown Family} WCHB1-41,"['Rb', 'Piren']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1219,{Unknown Family} WCHB1-41,"['Zn', 'U']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1026,{Unknown Family} Methylococcales,Ga,2.0630686876228865,-0.03333333333333326,0.9999995084525745
1217,{Unknown Family} WCHB1-41,"['Co', 'Mn']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1216,{Unknown Family} WCHB1-41,"['Fe', 'Al', 'Cr', 'Mn']",2.0630686876228865,-0.03333333333333326,-1.063069179170312
1230,{Unknown Family} WCHB1-41,Ni,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1228,{Unknown Family} WCHB1-41,HCHO,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1232,{Unknown Family} WCHB1-41,Sr,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1234,{Unknown Family} WCHB1-41,Ba,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1235,{Unknown Family} WCHB1-41,Naftalen,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1236,{Unknown Family} WCHB1-41,Acenaftylen,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1237,{Unknown Family} WCHB1-41,Acenaften,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1238,{Unknown Family} WCHB1-41,Fenantren,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1233,{Unknown Family} WCHB1-41,Sb,2.0630686876228865,-0.03333333333333326,-1.063069179170312
1032,{Unknown Family} Thiohalorhabdales,"['Fe', 'Al', 'Cr', 'Mn']",2.0630686876228865,-0.03333333333333326,0.9999995084525745
1033,{Unknown Family} Thiohalorhabdales,"['Co', 'Mn']",2.0630686876228865,-0.03333333333333326,0.9999995084525745
1034,{Unknown Family} Thiohalorhabdales,ΣPh,2.0630686876228865,-0.03333333333333326,0.9999995084525745
1084,{Unknown Family} YJF2-48,"['Li', 'Antracen']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1089,{Unknown Family} YJF2-48,"['Fe', 'Al', 'Cr', 'Mn']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1088,{Unknown Family} YJF2-48,"['Mn', 'Fe', 'Co']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1087,{Unknown Family} YJF2-48,"['Cr', 'Fe', 'Cu']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1086,{Unknown Family} YJF2-48,"['V', 'As']",2.063068687622886,-0.033333333333333305,-1.063069179170312
1085,{Unknown Family} YJF2-48,"['Al', 'Fe']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1142,{Unknown Family} I025,Ba,2.0630686876228865,-0.033333333333333305,0.9999995084525745
1073,{Unknown Order} Mollicutes,Fenantren,2.0630686876228865,-0.033333333333333305,0.9999995084525745
1081,{Unknown Order} F38,Sb,2.063068687622886,-0.033333333333333305,0.9999995084525745
1082,{Unknown Order} SJA-4,Ba,2.0630686876228865,-0.033333333333333305,0.9999995084525745
1083,{Unknown Family} YJF2-48,"['EC', 'Fluoren']",2.063068687622886,-0.033333333333333305,-1.063069179170312
1091,{Unknown Family} YJF2-48,"['Cu', 'Cr', 'Cd', 'Pb']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1090,{Unknown Family} YJF2-48,"['Co', 'Mn']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1108,{Unknown Family} YJF2-48,Naftalen,2.0630686876228865,-0.033333333333333305,-1.063069179170312
1092,{Unknown Family} YJF2-48,"['Zn', 'U']",2.0630686876228865,-0.033333333333333305,-1.063069179170312
1101,{Unknown Family} YJF2-48,HCHO,2.0630686876228865,-0.033333333333333305,-1.063069179170312
1109,{Unknown Family} YJF2-48,Acenaftylen,2.0630686876228865,-0.033333333333333305,-1.063069179170312
